Pruning Ratio,3d obj Acc@1,3d rel Acc@1,3d triplet Acc@50
0.0,52.39,92.14,89.19
0.05,52.39,92.14,89.19
0.1,52.39,92.07,89.18
0.15,52.39,91.79,89.09
0.2,52.39,90.99,88.87
0.25,52.39,90.39,88.66
0.3,52.46,89.63,88.36
0.35,52.46,88.57,88.13
0.4,52.46,89.17,87.92
0.45,52.27,85.12,87.1
0.5,52.27,83.41,86.65
0.55,52.41,85.73,86.51
0.6,48.6,67.92,84.27
0.65,41.85,67.92,81.56
0.7,32.5,67.92,76.68
0.75,28.47,67.92,74.99
