Pruning Ratio,3d obj Acc@1,3d rel Acc@1,3d triplet Acc@50
0.0,55.41,91.18,89.7
0.05,55.43,87.31,89.33
0.1,55.49,84.51,89.19
0.15,55.38,80.08,89.07
0.2,55.38,75.19,88.87
0.25,55.38,66.55,88.71
0.3,55.26,65.47,88.6
0.35,55.22,66.15,88.39
0.4,55.26,68.81,88.07
0.45,55.22,56.65,87.96
0.5,54.98,49.83,87.23
0.55,53.21,38.84,85.17
0.6,49.9,38.84,84.09
0.65,45.92,38.84,81.79
0.7,41.58,38.84,79.28
0.75,37.45,5.83,77.62
