Pruning Ratio,3d obj Acc@1,3d rel Acc@1,3d triplet Acc@50
0.0,52.66,89.97,88.53
0.05,52.48,90.05,88.43
0.1,52.48,89.87,88.25
0.15,52.67,89.36,88.11
0.2,51.99,88.79,87.92
0.25,51.13,87.03,87.26
0.3,50.52,85.58,86.6
0.35,47.36,85.73,84.57
0.4,41.54,81.21,80.28
0.45,36.97,73.04,77.1
0.5,32.31,24.39,74.83
0.55,25.02,19.25,73.46
0.6,16.86,17.5,73.12
0.65,14.42,15.7,72.69
0.7,13.76,12.29,72.44
0.75,14.94,6.87,72.36
0.8,10.07,5.58,72.29
0.85,4.07,5.57,72.34
0.9,4.07,5.57,72.34
0.95,4.07,5.57,72.34
