Pruning Ratio,3d obj Acc@1,3d rel Acc@1,3d triplet Acc@50
0.05,54.73,88.75,89.34
0.1,54.77,88.79,89.31
0.15,54.77,88.78,89.25
0.2,55.05,88.76,89.3
0.25,54.69,88.75,89.26
0.3,54.69,89.08,89.22
0.35,54.6,89.01,89.28
0.4,54.69,88.78,89.12
0.45,54.86,88.82,88.98
0.5,54.39,88.56,88.84
0.55,53.85,88.74,88.47
0.6,53.26,88.76,88.24
0.65,51.57,88.96,87.88
0.7,47.33,88.09,85.8
0.75,46.18,87.63,84.93
0.8,42.04,86.76,83.18
0.85,37.32,85.19,80.85
0.9,33.53,83.92,78.84
0.95,25.8,73.12,75.57
