Pruning Ratio,3d obj Acc@1,3d rel Acc@1,3d triplet Acc@50
0.55,45.395152792413064,73.86594616032919,83.12180853700858
0.35,54.604847207586936,74.50299935551038,87.88359526052253
0.5,49.82086406743941,73.10247384859451,85.18913291358882
0.1,54.373024236037935,85.12220514600169,89.20727777502354
0.2,54.58377239199157,73.1247831044569,88.68672847156809
0.3,54.64699683877766,74.58727876654604,88.30994992811462
0.45,53.50895679662803,72.93639383273016,86.36656586188091
0.75,27.544783983140146,76.79589509692133,76.68434881760943
0.6,39.852476290832456,74.26751276585196,80.50171037628279
0.65,33.88830347734457,71.44167368995092,78.58063556591145
0.05,54.478398314014754,88.98170641019286,89.40062465916415
0.4,54.836670179135936,76.17619354518864,86.98130980119974
0.15,54.3940990516333,81.01234445491052,89.00897327846909
0.7,30.389884088514226,73.96014079619255,77.21977095830648
0.25,54.58377239199157,70.74760795201031,88.5256060681176
0.0,54.6259220231823,90.18144861434733,89.50473451985523
