Pruning Ratio,3d obj Acc@1,3d rel Acc@1,3d triplet Acc@50
0.0,54.77,88.45,88.7
0.05,54.63,88.02,89.14
0.1,54.84,86.54,89.06
0.15,53.93,84.01,88.82
0.2,53.04,81.12,88.34
0.25,50.79,76.34,87.59
0.3,49.02,71.05,86.64
0.35,47.61,65.29,86.22
0.4,44.13,60.21,84.93
0.45,42.47,52.87,83.67
0.5,41.45,54.81,81.9
0.55,37.37,52.88,80.12
0.6,32.29,57.32,77.83
0.65,28.45,59.64,76.23
0.7,24.49,56.66,75.56
0.75,16.9,63.38,74.66
0.8,17.09,69.71,74.78
0.85,2.93,72.97,72.2
0.9,2.93,72.97,72.2
0.95,2.93,72.97,72.2
