Pruning Ratio,3d obj Acc@1,3d rel Acc@1,3d triplet Acc@50
0.0,56.24,89.8,89.89
0.05,54.73,87.96,89.36
0.1,54.82,87.34,89.43
0.15,54.86,86.37,89.4
0.2,54.82,85.2,89.31
0.25,54.69,84.2,89.2
0.3,54.48,83.23,89.07
0.35,54.04,81.01,88.82
0.4,53.02,77.81,88.54
0.45,52.08,72.8,87.94
0.5,50.6,54.42,86.64
0.55,49.4,54.73,84.05
0.6,42.4,66.38,81.22
0.65,38.46,67.58,79.84
0.7,33.53,69.49,78.13
0.75,27.8,69.92,75.48
0.8,14.6,77.75,73.37
0.85,12.41,78.3,72.43
0.9,12.41,78.3,72.43
0.95,12.41,78.3,72.43
